Pass	Rep	AA	MO	RE	BS	OA	CX	SX	Total
3	E1	112000000.00	224000000.00	0.00	4000000.00	240000000.00	0.00	0.00	580000000.00
3	E2	52000000.00	72000000.00	4000000.00	6000000.00	86000000.00	0.00	0.00	220000000.00
3	F1	248000000.00	368000000.00	2000000.00	8000000.00	280000000.00	0.00	0.00	906000000.00
3	F2	56000000.00	296000000.00	2000000.00	6000000.00	96000000.00	0.00	0.00	456000000.00
3	G1	136000000.00	248000000.00	4000000.00	8000000.00	248000000.00	0.00	0.00	644000000.00
3	G2	88000000.00	192000000.00	6000000.00	6000000.00	280000000.00	0.00	0.00	572000000.00
3	H1	184000000.00	304000000.00	4000000.00	2000000.00	248000000.00	0.00	0.00	742000000.00
3	H2	144000000.00	260000000.00	0.00	14000000.00	216000000.00	0.00	0.00	634000000.00
3	I1	128000000.00	192000000.00	0.00	8000000.00	224000000.00	0.00	0.00	552000000.00
3	I2	88000000.00	208000000.00	2000000.00	6000000.00	224000000.00	0.00	0.00	528000000.00
3	J1	192000000.00	160000000.00	0.00	4000000.00	280000000.00	0.00	0.00	636000000.00
3	J2	168000000.00	280000000.00	0.00	6000000.00	304000000.00	0.00	0.00	758000000.00
3	K1	84000000.00	164000000.00	0.00	8000000.00	120000000.00	0.00	0.00	376000000.00
3	K2	88000000.00	120000000.00	0.00	4000000.00	100000000.00	0.00	0.00	312000000.00
3	L1	136000000.00	220000000.00	0.00	8000000.00	188000000.00	0.00	0.00	552000000.00
3	L2	168000000.00	224000000.00	0.00	2000000.00	248000000.00	0.00	0.00	642000000.00
4	A1	112000000.00	168000000.00	0.00	6000000.00	232000000.00	0.00	0.00	518000000.00
4	A2	136000000.00	392000000.00	0.00	4000000.00	184000000.00	0.00	0.00	716000000.00
4	B1	168000000.00	152000000.00	0.00	2000000.00	224000000.00	0.00	0.00	546000000.00
4	B2	296000000.00	328000000.00	0.00	4000000.00	320000000.00	0.00	0.00	948000000.00
4	C1	256000000.00	320000000.00	0.00	6000000.00	240000000.00	0.00	0.00	822000000.00
4	C2	144000000.00	184000000.00	0.00	6000000.00	296000000.00	0.00	0.00	630000000.00
4	D1	144000000.00	320000000.00	0.00	6000000.00	216000000.00	0.00	0.00	686000000.00
4	E1	216000000.00	216000000.00	0.00	8000000.00	328000000.00	0.00	0.00	768000000.00
4	E2	168000000.00	320000000.00	0.00	6000000.00	304000000.00	0.00	0.00	798000000.00
4	F1	200000000.00	264000000.00	0.00	0.00	304000000.00	0.00	0.00	768000000.00
4	F2	208000000.00	192000000.00	0.00	2000000.00	264000000.00	0.00	0.00	666000000.00
4	G1	224000000.00	288000000.00	0.00	12000000.00	288000000.00	0.00	0.00	812000000.00
4	G2	200000000.00	224000000.00	0.00	14000000.00	320000000.00	2000000.00	0.00	760000000.00
4	H1	192000000.00	320000000.00	0.00	4000000.00	248000000.00	0.00	0.00	764000000.00
4	H2	184000000.00	256000000.00	0.00	8000000.00	264000000.00	0.00	0.00	712000000.00
4	I1	224000000.00	440000000.00	0.00	6000000.00	352000000.00	0.00	0.00	1022000000.00
4	I2	192000000.00	352000000.00	0.00	8000000.00	392000000.00	0.00	0.00	944000000.00
4	J1	128000000.00	160000000.00	0.00	4000000.00	168000000.00	0.00	0.00	460000000.00
4	J2	160000000.00	192000000.00	0.00	18000000.00	160000000.00	0.00	0.00	530000000.00
4	K1	280000000.00	320000000.00	0.00	2000000.00	280000000.00	0.00	0.00	882000000.00
4	K2	248000000.00	280000000.00	0.00	6000000.00	304000000.00	0.00	0.00	838000000.00
4	L1	144000000.00	240000000.00	0.00	10000000.00	208000000.00	0.00	0.00	602000000.00
